epoch,dataset,atten_masks,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
53,1,1,85.4902,84.237,77.54,92.2002,39850.27054,92.2068,70.3593,79.932,62.8342,2292.700394,121318,47035,3979,56680,13624,7622,705,417,6323,177,86.0694
43,1,1,85.5248,84.4935,78.8737,90.9755,40624.41769,91.1441,67.903,80.9524,58.4767,2511.612961,121318,47844,4746,55913,12815,7622,714,507,6233,168,86.04825
47,1,1,85.505,84.5046,79.0485,90.7697,40488.71085,90.9604,67.4847,81.0658,57.8011,2590.484928,121318,47950,4876,55783,12709,7622,715,522,6218,167,86.0131
57,1,1,85.6732,84.628,78.8737,91.2879,39762.40196,91.4065,68.4641,80.6122,59.4979,2471.027575,121318,47844,4566,56093,12815,7622,711,484,6256,171,86.00935
59,1,1,85.7688,84.8221,79.5315,90.8668,39764.78209,91.0391,67.6457,80.9524,58.096,2515.772377,121318,48243,4849,55810,12416,7622,714,515,6225,168,85.99575
50,1,1,85.6963,84.7571,79.5348,90.7134,40091.17925,90.8948,67.3258,81.0658,57.5684,2547.014479,121318,48245,4939,55720,12414,7622,715,527,6213,167,85.9803
51,1,1,85.5125,84.315,77.878,91.912,39792.73326,91.9837,69.7674,79.932,61.8964,2361.977316,121318,47240,4157,56502,13419,7622,705,434,6306,177,85.95785
58,1,1,85.5858,84.4804,78.4632,91.4972,39914.43121,91.6033,68.8716,80.2721,60.3066,2528.514572,121318,47595,4423,56236,13064,7622,708,466,6274,174,85.9377
54,1,1,85.679,84.5639,78.455,91.7044,39887.39636,91.7082,69.1105,80.1587,60.7388,2379.691896,121318,47590,4305,56354,13069,7622,707,457,6283,175,85.93345
56,1,1,85.5932,84.4817,78.4302,91.545,39756.64027,91.6164,68.8748,80.1587,60.3757,2456.225735,121318,47575,4394,56265,13084,7622,707,464,6276,175,85.88755
44,1,1,85.4144,84.4087,78.9644,90.6594,40837.48674,90.8817,67.2324,80.839,57.5464,2658.760201,121318,47899,4935,55724,12760,7622,713,526,6214,169,85.86035
55,1,1,85.5767,84.4216,78.1615,91.7717,39791.84512,91.7607,69.1552,79.8186,61.0052,2383.535343,121318,47412,4251,56408,13247,7622,704,450,6290,178,85.78965
46,1,1,85.4688,84.2132,77.5153,92.178,40102.41431,92.0887,69.9252,79.4785,62.4221,2348.694113,121318,47020,3990,56669,13639,7622,701,422,6318,181,85.7836
48,1,1,85.4778,84.2178,77.4939,92.2194,40033.57957,92.0493,69.8207,79.4785,62.2558,2289.930279,121318,47007,3966,56693,13652,7622,701,425,6315,181,85.7639
52,1,1,85.5141,84.2682,77.5944,92.198,39765.64905,92.0362,69.786,79.4785,62.2005,2306.639271,121318,47068,3983,56676,13591,7622,701,426,6314,181,85.75735
42,1,1,85.4721,84.3624,78.3758,91.3391,40625.07463,91.354,68.2103,80.1587,59.3619,2547.235899,121318,47542,4508,56151,13117,7622,707,484,6256,175,85.75635
58,5,5,85.9015,84.85,78.9611,91.6882,39172.73807,91.4983,68.4825,79.8186,59.9659,2464.622391,121318,47897,4342,56317,12762,7622,704,470,6270,178,85.65845
49,1,1,85.5553,84.387,78.0725,91.8129,40082.87825,91.7082,68.9587,79.5918,60.8319,2440.492661,121318,47358,4223,56436,13301,7622,702,452,6288,180,85.65
40,1,1,85.3534,84.0119,76.963,92.4822,40580.01805,92.2724,70.2975,79.0249,63.3061,2293.702818,121318,46685,3795,56864,13974,7622,697,404,6336,185,85.64865
39,1,1,85.3715,84.2597,78.3082,91.1902,40863.79781,91.3015,68.0174,79.932,59.194,2520.511789,121318,47501,4589,56070,13158,7622,705,486,6254,177,85.61675
34,1,1,85.3278,84.0909,77.5532,91.8324,40995.5426,91.7476,69.03,79.4785,61.0096,2460.523291,121318,47043,4184,56475,13616,7622,701,448,6292,181,85.61305
35,1,1,85.3031,84.1285,77.9027,91.4359,41188.59392,91.4589,68.352,79.7052,59.8298,2577.464781,121318,47255,4426,56233,13404,7622,703,472,6268,179,85.58205
37,1,1,85.3146,84.0413,77.3356,92.0202,40860.43352,91.905,69.3797,79.2517,61.6946,2340.558081,121318,46911,4068,56591,13748,7622,699,434,6306,183,85.57835
33,1,1,85.2948,84.1323,77.9686,91.3542,41232.46181,91.4458,68.3188,79.7052,59.7789,2528.954453,121318,47295,4476,56183,13364,7622,703,473,6267,179,85.5755
41,1,1,85.4078,84.1458,77.4477,92.1121,40607.61009,91.9837,69.5566,79.1383,62.0444,2300.413168,121318,46979,4023,56636,13680,7622,698,427,6313,184,85.561
45,1,1,85.4572,84.2134,77.5779,92.09,40335.11836,91.8525,69.2422,79.2517,61.4776,2350.441269,121318,47058,4042,56617,13601,7622,699,438,6302,183,85.5521
27,1,1,85.1572,83.8617,77.1295,91.8814,42012.1788,91.8394,69.2079,79.2517,61.4236,2367.332449,121318,46786,4134,56525,13873,7622,699,439,6301,183,85.54555
