epoch,dataset,atten_masks,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
49,1,1,86.3953,85.5654,80.6459,91.124,38112.91525,90.9473,67.2986,80.4989,57.8176,2359.330349,121318,48919,4765,55894,11740,7622,710,518,6222,172,171.4462
59,1,1,86.7481,85.986,81.3103,91.2323,37206.52042,90.9473,67.2986,80.4989,57.8176,2357.863899,121318,49322,4740,55919,11337,7622,710,518,6222,172,171.4462
59,5,5,86.7241,85.939,81.1405,91.3408,36976.9984,90.921,67.2348,80.4989,57.7236,2385.838243,121318,49219,4666,55993,11440,7622,710,520,6220,172,171.4199
56,1,1,86.5181,85.4992,79.4919,92.4887,37513.70326,92.1543,70.0401,79.2517,62.7469,2209.461081,121318,48219,3916,56743,12440,7622,699,415,6325,183,171.406
51,3,3,86.5387,85.7382,80.9262,91.1588,37724.12785,90.5537,66.4492,80.839,56.4082,2380.170288,121318,49089,4761,55898,11570,7622,713,551,6189,169,171.3927
28,1,1,85.5479,84.6952,79.9766,90.0056,40681.66248,90.2125,65.7484,81.1791,55.2469,2757.092169,121318,48513,5387,55272,12146,7622,716,580,6160,166,171.3916
51,1,1,86.4389,85.5242,80.12,91.7102,37950.45554,91.4589,68.4134,79.932,59.7964,2165.424515,121318,48600,4393,56266,12059,7622,705,474,6266,177,171.3909
53,2,2,86.3837,85.5992,80.9361,90.8326,38232.92486,90.4356,66.2031,80.9524,56,2561.730446,121318,49095,4955,55704,11564,7622,714,561,6179,168,171.388
36,5,5,85.937,85.1104,80.3854,90.4254,39281.30585,90.4356,66.2031,80.9524,56,2689.799894,121318,48761,5163,55496,11898,7622,714,561,6179,168,171.388
43,1,1,85.9749,84.784,78.1483,92.6511,38639.76555,92.3511,70.5109,79.0249,63.653,2141.575953,121318,47404,3760,56899,13255,7622,697,398,6342,185,171.376
