epoch,dataset,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
2,5,88.6901,88.1488,84.1227,92.5796,34764.89854,91.3671,68.4261,80.839,59.3178,2238.761134,121318,51028,4090,0,9631,7622,713,489,0,169,86.10305
12,5,95.1755,95.3883,99.7906,91.358,16627.76073,87.4705,60.9726,84.5805,47.6677,2956.509579,121318,60532,5726,0,127,7622,746,819,0,136,86.0255
7,5,95.356,95.4721,97.9195,93.144,17619.0765,89.6484,64.7925,82.3129,53.4216,2174.503015,121318,59397,4372,0,1262,7622,726,633,0,156,85.98065
9,5,96.0566,96.1378,98.1569,94.2,15420.75824,90.921,67.3585,80.9524,57.6737,2287.534201,121318,59541,3666,0,1118,7622,714,524,0,168,85.9367
6,5,94.3726,94.4658,96.0566,92.9269,20510.09011,90.2125,65.8425,81.5193,55.2227,2195.895312,121318,58267,4435,0,2392,7622,719,583,0,163,85.8659
5,5,92.4875,92.8281,97.237,88.8017,25275.116,86.0666,58.7092,85.6009,44.6746,2660.766617,121318,58983,7438,0,1676,7622,755,935,0,127,85.83375
10,2,94.704,94.7147,94.9059,94.5242,22882.17392,90.8161,67.0123,80.6122,57.3387,2677.476503,121318,57569,3335,0,3090,7622,711,529,0,171,85.71415
4,5,91.1522,91.5531,95.8984,87.5845,29179.21975,85.0695,57.218,86.2812,42.8009,2837.732151,121318,58171,8246,0,2488,7622,761,1017,0,121,85.67535
11,5,96.7713,96.8508,99.2961,94.5231,12989.61466,90.37,66.05,80.9524,55.7813,2366.123984,121318,60232,3490,0,427,7622,714,566,0,168,85.6612
1,5,87.7512,87.1945,83.4039,91.346,38468.98804,90.0813,65.4479,81.1791,54.8239,2535.441338,121318,50592,4793,0,10067,7622,716,590,0,166,85.6302
3,5,90.2958,90.5146,92.6029,88.5184,31527.04972,86.762,59.6238,84.4671,46.073,2735.789181,121318,56172,7286,0,4487,7622,745,872,0,137,85.61455
