epoch,dataset,atten_masks,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
16,1,1,98.7454,98.7601,99.9291,97.6182,5604.522657,92.2068,69.7556,77.6644,63.3087,2953.507135,121318,60616,1479,59180,43,7622,685,397,6343,197,84.9356
4,4,4,94.7947,94.9117,97.0952,92.8243,19042.04431,89.8058,64.5043,80.0454,54.0168,2239.510529,121318,58897,4553,56106,1762,7622,706,601,6139,176,84.9256
6,3,3,94.338,94.6046,99.2779,90.3514,18600.1823,86.0535,58.1661,83.7868,44.5449,2898.815134,121318,60221,6431,54228,438,7622,739,920,5820,143,84.92015
5,3,3,95.1392,95.3006,98.5723,92.239,17064.00052,88.4676,61.9974,81.2925,50.1048,2640.996477,121318,59793,5031,55628,866,7622,717,714,6026,165,84.88005
11,3,3,98.0176,98.0428,99.306,96.8114,8548.658908,92.1936,69.6893,77.551,63.2747,2640.458215,121318,60238,1984,58675,421,7622,684,397,6343,198,84.8723
6,5,5,94.9744,95.1911,99.4807,91.2561,17196.86303,86.9719,59.519,82.7664,46.4672,2765.129,121318,60344,5782,54877,315,7622,730,841,5899,152,84.86915
3,0,0,93.2294,93.3502,95.0461,91.7137,22574.27222,88.8874,62.7365,80.839,51.2581,2409.824542,121318,57654,5209,55450,3005,7622,713,678,6062,169,84.8632
3,4,4,93.517,93.6452,95.5341,91.8296,22370.33966,89.2023,63.3081,80.4989,52.1675,2289.386645,121318,57950,5156,55503,2709,7622,710,651,6089,172,84.8506
2,9,9,90.9997,91.1308,92.4776,89.8226,29055.9755,88.0137,61.0993,81.6629,48.8087,2499.967331,121318,56096,6356,54303,4563,7617,717,752,5987,161,84.8383
7,4,4,95.0494,95.2714,99.7445,91.1823,17999.63938,87.2868,59.9752,82.3129,47.1735,3212.813666,121318,60504,5851,54808,155,7622,726,813,5927,156,84.79985
0,3,3,86.9269,86.3035,82.3752,90.6252,40820.08278,89.5434,63.9203,80.0454,53.2027,2689.455791,121318,49968,5169,55490,10691,7622,706,621,6119,176,84.7944
6,1,1,96.1844,96.1917,96.3748,96.0092,14244.33609,92.3511,70.0257,77.2109,64.064,2047.76247,121318,58460,2430,58229,2199,7622,681,382,6358,201,84.781
10,2,2,97.8132,97.8478,99.423,96.3218,9021.217935,91.7476,68.5657,77.7778,61.3047,2711.358556,121318,60309,2303,58356,350,7622,686,433,6307,196,84.7627
4,3,3,94.2473,94.4358,97.6343,91.4402,19514.09506,87.8641,60.8879,81.6327,48.5502,2397.916536,121318,59224,5544,55115,1435,7622,720,763,5977,162,84.7484
6,4,4,96.477,96.5609,98.9169,94.3146,13723.14458,90.5799,65.9716,78.9116,56.6775,2316.314579,121318,60002,3617,57042,657,7622,696,532,6208,186,84.74575
2,1,1,89.5341,90.0288,94.4955,85.9654,32483.35145,83.4033,54.5455,86.0544,39.9264,3138.531712,121318,57320,9358,51301,3339,7622,759,1142,5598,123,84.72885
5,4,4,94.2053,94.463,98.8592,90.4411,19966.20186,87.4442,60.1748,81.9728,47.5345,2808.159715,121318,59967,6338,54321,692,7622,723,798,5942,159,84.7085
1,4,4,88.836,88.8849,89.2761,88.4971,34883.34142,87.5361,60.3175,81.8594,47.7513,2740.776815,121318,54154,7039,53620,6505,7622,722,790,5950,160,84.69775
2,3,3,90.956,91.2314,94.0965,88.5356,29346.87193,85.9486,57.8844,83.4467,44.3107,2721.780064,121318,57078,7391,53268,3581,7622,736,925,5815,146,84.69765
10,4,4,97.5807,97.6343,99.8434,95.5208,9677.958076,91.1178,67.088,78.2313,58.7234,2705.619555,121318,60564,2840,57819,95,7622,690,485,6255,192,84.67455
7,9,9,96.8653,96.9094,98.2921,95.565,12429.98672,91.8341,68.6176,77.4487,61.5942,2386.171962,121318,59623,2767,57892,1036,7617,680,424,6315,198,84.6414
0,5,5,84.8629,85.1953,87.1083,83.3646,45737.01216,83.1147,54.1503,86.1678,39.4805,3708.785995,121318,52839,10544,50115,7820,7622,760,1165,5575,122,84.64125
1,9,9,88.5639,88.6472,89.2975,88.0063,36107.42832,86.924,59.2138,82.3462,46.2276,3028.963007,121318,54167,7382,53277,6492,7617,723,841,5898,155,84.6351
16,3,3,98.2748,98.3012,99.8302,96.8183,7669.937734,91.4852,67.8872,77.7778,60.2283,3253.402811,121318,60556,1990,58669,103,7622,686,453,6287,196,84.6315
1,3,3,87.8476,88.1917,90.7615,85.7635,36939.45575,84.3348,55.6464,84.9206,41.3812,3282.796131,121318,55055,9139,51520,5604,7622,749,1061,5679,133,84.6277
21,1,1,98.5575,98.5776,99.9703,97.2232,6288.757061,91.0916,66.9908,78.1179,58.6383,3607.422469,121318,60641,1732,58927,18,7622,689,486,6254,193,84.60475
4,0,0,94.3092,94.5,97.7794,91.4335,19242.08247,88.4545,61.8056,80.7256,50.0703,2485.879675,121318,59312,5557,55102,1347,7622,712,710,6030,170,84.59005
11,9,9,97.0837,97.1603,99.7807,94.6739,10768.59669,90.2192,65.0399,78.9294,55.3073,2665.270748,121318,60526,3405,57254,133,7617,693,560,6179,185,84.5743
16,4,4,98.1536,98.1836,99.8055,96.6136,8768.420133,92.1543,69.4274,76.9841,63.2216,3306.809748,121318,60541,2122,58537,118,7622,679,395,6345,203,84.5692
11,1,1,98.2954,98.3162,99.5335,97.1284,7397.239658,92.5741,70.4593,76.5306,65.2805,2592.680896,121318,60376,1785,58874,283,7622,675,359,6381,207,84.55235
14,2,2,98.0555,98.0888,99.7972,96.4379,7976.210377,91.1834,67.1554,77.8912,59.0206,2999.615507,121318,60536,2236,58423,123,7622,687,477,6263,195,84.5373
39,4,4,98.4182,98.442,99.9456,96.983,7658.682519,90.8161,66.3462,78.2313,57.596,4786.939116,121318,60626,1886,58773,33,7622,690,508,6232,192,84.5237
43,3,3,98.8081,98.822,99.9901,97.6809,5320.2818,90.8948,66.5058,78.1179,57.8992,5268.731672,121318,60653,1440,59219,6,7622,689,501,6239,193,84.50635
6,2,2,96.4622,96.5301,98.4207,94.7109,13737.02921,90.593,65.8409,78.3447,56.779,2466.104824,121318,59701,3334,57325,958,7622,691,526,6214,191,84.46885
13,3,3,98.527,98.5422,99.5664,97.5388,6726.542975,92.3904,69.9482,76.5306,64.4084,2599.659256,121318,60396,1524,59135,263,7622,675,373,6367,207,84.4605
7,3,3,96.5339,96.6156,98.9466,94.3918,12771.14037,89.9764,64.564,78.9116,54.6311,2497.834106,121318,60020,3566,57093,639,7622,696,578,6162,186,84.444
10,5,5,96.8389,96.9071,99.0455,94.8592,11611.76905,89.6746,63.9487,79.1383,53.651,2803.693156,121318,60080,3256,57403,579,7622,698,603,6137,184,84.40645
11,4,4,97.7687,97.8088,99.5994,96.0814,9366.285192,91.8263,68.5512,76.9841,61.7834,2699.151208,121318,60416,2464,58195,243,7622,679,420,6320,203,84.4052
