"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","method","set","auc"
0.892857142857143,0.785714285714286,0.820321244871306,0.943398400700311,0.5,9.63790860782688e-19,0.772829992684448,0.875,0.910714285714286,0.907407407407407,0.879310344827586,0.907407407407407,0.875,0.890909090909091,0.5,0.4375,0.482142857142857,0.892857142857143,"1__1Logistic Regression","training",0.892857142857143
0.888888888888889,0.678571428571428,0.652879561391328,0.986248784335636,0.777777777777778,0.202150233750908,1,0.928571428571429,0.75,0.928571428571428,0.75,0.928571428571429,0.928571428571429,0.928571428571429,0.777777777777778,0.722222222222222,0.777777777777778,0.839285714285714,"1__1Logistic Regression","testing",0.839285714285714
0.901785714285714,0.803571428571429,0.831060674233497,0.949944265542584,0.5,1.1312596121778e-19,1,0.892857142857143,0.910714285714286,0.909090909090909,0.894736842105263,0.909090909090909,0.892857142857143,0.900900900900901,0.5,0.446428571428571,0.491071428571429,0.901785714285714,"1__2ridge","training",0.901785714285714
0.888888888888889,0.678571428571428,0.652879561391328,0.986248784335636,0.777777777777778,0.202150233750908,1,0.928571428571429,0.75,0.928571428571428,0.75,0.928571428571429,0.928571428571429,0.928571428571429,0.777777777777778,0.722222222222222,0.777777777777778,0.839285714285714,"1__2ridge","testing",0.839285714285714
0.901785714285714,0.803571428571429,0.831060674233497,0.949944265542584,0.5,1.1312596121778e-19,1,0.892857142857143,0.910714285714286,0.909090909090909,0.894736842105263,0.909090909090909,0.892857142857143,0.900900900900901,0.5,0.446428571428571,0.491071428571429,0.901785714285714,"1__3lasso","training",0.901785714285714
0.888888888888889,0.678571428571428,0.652879561391328,0.986248784335636,0.777777777777778,0.202150233750908,1,0.928571428571429,0.75,0.928571428571428,0.75,0.928571428571429,0.928571428571429,0.928571428571429,0.777777777777778,0.722222222222222,0.777777777777778,0.839285714285714,"1__3lasso","testing",0.839285714285714
0.919642857142857,0.839285714285714,0.85293370162429,0.962596758261913,0.5,1.15725574214234e-21,0.0455002638963585,0.857142857142857,0.982142857142857,0.979591836734694,0.873015873015873,0.979591836734694,0.857142857142857,0.914285714285714,0.5,0.428571428571429,0.4375,0.919642857142857,"1__4KNN","training",0.919642857142857
0.944444444444444,0.852459016393443,0.727056400326632,0.998594443832631,0.777777777777778,0.0666453673154693,1,0.928571428571429,1,1,0.8,1,0.928571428571429,0.962962962962963,0.777777777777778,0.722222222222222,0.722222222222222,0.964285714285714,"1__4KNN","testing",0.964285714285714
0.910714285714286,0.821428571428571,0.841926195416801,0.956350162562197,0.5,1.20568642397709e-20,1,0.910714285714286,0.910714285714286,0.910714285714286,0.910714285714286,0.910714285714286,0.910714285714286,0.910714285714286,0.5,0.455357142857143,0.5,0.910714285714286,"1__5SVM","training",0.910714285714286
0.944444444444444,0.823529411764706,0.727056400326632,0.998594443832631,0.777777777777778,0.0666453673154693,1,1,0.75,0.933333333333333,1,0.933333333333333,1,0.96551724137931,0.777777777777778,0.777777777777778,0.833333333333333,0.875,"1__5SVM","testing",0.875
0.857142857142857,0.714285714285714,0.778398314512983,0.916084238541599,0.5,2.18886690156731e-15,0.0801183137276343,0.928571428571429,0.785714285714286,0.8125,0.916666666666667,0.8125,0.928571428571429,0.866666666666667,0.5,0.464285714285714,0.571428571428571,0.857142857142857,"1__6Decision Tree","training",0.857142857142857
0.888888888888889,0.678571428571428,0.652879561391328,0.986248784335636,0.777777777777778,0.202150233750908,1,0.928571428571429,0.75,0.928571428571428,0.75,0.928571428571429,0.928571428571429,0.928571428571429,0.777777777777778,0.722222222222222,0.777777777777778,0.839285714285714,"1__6Decision Tree","testing",0.839285714285714
1,1,0.96760007406864,1,0.5,1.92592994438725e-34,NA,1,1,1,1,1,1,1,0.5,0.5,0.5,1,"1__7Random Forest","training",1
1,1,0.814698031862148,1,0.777777777777778,0.0108492458420531,NA,1,1,1,1,1,1,1,0.777777777777778,0.777777777777778,0.777777777777778,1,"1__7Random Forest","testing",1
0.991071428571429,0.982142857142857,0.951256695269874,0.999773973690793,0.5,2.17630083715758e-32,1,0.982142857142857,1,1,0.982456140350877,1,0.982142857142857,0.990990990990991,0.5,0.491071428571429,0.491071428571429,0.991071428571429,"1__8XGBoost","training",0.991071428571429
1,1,0.814698031862148,1,0.777777777777778,0.0108492458420531,NA,1,1,1,1,1,1,1,0.777777777777778,0.777777777777778,0.777777777777778,1,"1__8XGBoost","testing",1
0.982142857142857,0.964285714285714,0.936981052812033,0.997830053615064,0.5,1.21892106180269e-30,0.479500122186953,0.964285714285714,1,1,0.96551724137931,1,0.964285714285714,0.981818181818182,0.5,0.482142857142857,0.482142857142857,0.982142857142857,"1__9LightGBM","training",0.982142857142857
1,1,0.814698031862148,1,0.777777777777778,0.0108492458420531,NA,1,1,1,1,1,1,1,0.777777777777778,0.777777777777778,0.777777777777778,1,"1__9LightGBM","testing",1
0.919642857142857,0.839285714285714,0.85293370162429,0.962596758261913,0.5,1.15725574214234e-21,1,0.910714285714286,0.928571428571429,0.927272727272727,0.912280701754386,0.927272727272727,0.910714285714286,0.918918918918919,0.5,0.455357142857143,0.491071428571429,0.919642857142857,"2__1Logistic Regression","training",0.919642857142857
