epoch,dataset,train_num,train_acc,train_loss,train_recall,train_precision,train_tp,train_tn,train_fp,train_fn,test_num,test_acc,test_loss,test_recall,test_precision,test_tp,test_tn,test_fp,test_fn,RECALL,PRECISION,F1,SCORE
6,1,121318,0.8063,0.4316,84.4524,78.4514,51228,46588,14071,9431,7622,0.7305,0.592,89.6825,28.7219,791,4777,1963,91,0.896825397,0.287218591,0.435093509,45.2065
3,2,121318,0.7967,0.4487,83.3792,77.6209,50577,46077,14582,10082,7622,0.7406,0.5703,89.229,29.4867,787,4858,1882,95,0.892290249,0.294866991,0.443255421,44.9848
1,2,121318,0.7857,0.4684,82.6868,76.4018,50157,45167,15492,10502,7622,0.7161,0.5875,89.229,27.556,787,4671,2069,95,0.892290249,0.275560224,0.421080792,44.97255
0,0,121318,0.7469,0.5283,79.5513,72.5018,48255,42357,18302,12404,7622,0.6796,0.6286,88.322,24.984,779,4401,2339,103,0.883219955,0.249839641,0.3895,44.5008
11,2,121318,0.8266,0.3868,88.7684,79.0992,53846,46431,14228,6813,7622,0.7488,0.5113,88.2086,30.0502,778,4929,1811,104,0.882086168,0.300502124,0.448285797,44.4787
7,3,121318,0.8074,0.4265,84.9107,78.3743,51506,46447,14212,9153,7622,0.7484,0.5415,88.2086,30.0154,778,4926,1814,104,0.882086168,0.300154321,0.447898676,44.4785
1,3,121318,0.7842,0.4705,82.5731,76.2398,50088,45049,15610,10571,7622,0.7456,0.5392,87.8685,29.7277,775,4908,1832,107,0.878684807,0.297276563,0.444253368,44.30705
10,2,121318,0.8193,0.4014,87.5056,78.7315,53080,46320,14339,7579,7622,0.7565,0.4831,87.7551,30.6899,774,4992,1748,108,0.87755102,0.306899286,0.454759107,44.2558
6,3,121318,0.8046,0.4328,84.4392,78.22,51220,46397,14262,9439,7622,0.7599,0.5276,87.6417,30.9944,773,5019,1721,109,0.876417234,0.309943865,0.457938389,44.2008
0,8,121318,0.7427,0.5313,79.4903,71.979,48218,41888,18771,12441,7622,0.6998,0.7035,87.1882,26.1209,769,4565,2175,113,0.871882086,0.261209239,0.401986409,43.944
8,2,121318,0.8123,0.4148,85.7713,78.6361,52028,46524,14135,8631,7622,0.7642,0.4963,87.0748,31.3341,768,5057,1683,114,0.870748299,0.313341493,0.460846085,43.9195
11,0,121318,0.8191,0.4023,87.4017,78.7502,53017,46353,14306,7642,7622,0.7417,0.523,87.0748,29.2795,768,4885,1855,114,0.870748299,0.29279451,0.438231098,43.90825
4,1,121318,0.7972,0.4459,83.7172,77.5262,50782,45938,14721,9877,7622,0.7611,0.4838,86.6213,30.9688,764,5037,1703,118,0.866213152,0.30968788,0.456255599,43.6912
2,3,121318,0.7882,0.4613,82.761,76.7134,50202,45420,15239,10457,7622,0.7561,0.5,86.6213,30.499,764,4999,1741,118,0.866213152,0.30499002,0.451136699,43.6887
8,9,121318,0.8095,0.4222,85.5685,78.3283,51905,46298,14361,8754,7617,0.737,0.5428,86.5604,28.7335,760,4854,1885,118,0.865603645,0.287334594,0.431450468,43.6487
9,3,121318,0.814,0.4121,86.2312,78.6347,52307,46447,14212,8352,7622,0.7619,0.4772,86.5079,31.0289,763,5044,1696,119,0.865079365,0.310288735,0.456749476,43.6349
8,0,121318,0.8104,0.4219,85.3278,78.5918,51759,46560,14099,8900,7622,0.7569,0.4891,86.2812,30.5255,761,5008,1732,121,0.862811791,0.305254713,0.450962963,43.51905
