epoch,dataset,train_num,train_acc,train_loss,train_recall,train_precision,train_tp,train_tn,train_fp,train_fn,test_num,test_acc,test_loss,test_recall,test_precision,test_tp,test_tn,test_fp,test_fn,RECALL,PRECISION,F1,SCORE
3,1,121318,0.7958,0.4498,83.4979,77.4343,50649,45899,14760,10010,7622,0.7396,0.5456,88.322,29.2747,779,4858,1882,103,0.883219955,0.292747088,0.439740333,0.811409977
13,3,121318,0.8212,0.3971,87.8814,78.8044,53308,46321,14338,7351,7622,0.7962,0.4048,82.6531,34.2414,729,5340,1400,153,0.826530612,0.342414279,0.48422451,0.811365306
6,2,121318,0.8058,0.4328,84.0584,78.5933,50989,46771,13888,9670,7622,0.7368,0.5416,88.4354,29.0611,780,4836,1904,102,0.884353741,0.290611028,0.437464947,0.810576871
20,2,121318,0.8491,0.3469,92.143,80.5027,55893,47122,13537,4766,7622,0.7703,0.4742,85.034,31.6589,750,5121,1619,132,0.850340136,0.316589278,0.461396493,0.810320068
3,2,121318,0.7967,0.4499,83.2144,77.7047,50477,46176,14483,10182,7622,0.7907,0.4503,82.9932,33.6243,732,5295,1445,150,0.829931973,0.336242536,0.478587774,0.810315986
17,2,121318,0.8353,0.3709,90.0707,79.6559,54636,46705,13954,6023,7622,0.754,0.4885,86.5079,30.2898,763,4984,1756,119,0.865079365,0.302897975,0.448691561,0.809539683
1,1,121318,0.7888,0.4633,82.9588,76.701,50322,45373,15286,10337,7622,0.7549,0.4989,86.3946,30.3586,762,4992,1748,120,0.863945578,0.303585657,0.449292453,0.809422789
15,3,121318,0.8282,0.3829,89.38,79.0105,54217,46256,14403,6442,7622,0.7855,0.4202,83.3333,33.0634,735,5252,1488,147,0.833333333,0.330634278,0.473429952,0.809416667
4,0,121318,0.8001,0.4427,83.704,77.9424,50774,46290,14369,9885,7622,0.7684,0.509,85.034,31.4729,750,5107,1633,132,0.850340136,0.314729333,0.45941807,0.809370068
11,5,121318,0.8178,0.4061,86.6351,78.9733,52552,46667,13992,8107,7622,0.7444,0.5095,87.3016,29.5472,770,4904,1836,112,0.873015873,0.295471988,0.441513761,0.808707937
4,1,121318,0.8003,0.4427,83.9265,77.8627,50909,46185,14474,9750,7622,0.7657,0.4857,85.1474,31.2136,751,5085,1655,131,0.851473923,0.312136326,0.456812652,0.808586961
1,3,121318,0.7855,0.4678,82.5731,76.4212,50088,45205,15454,10571,7622,0.7532,0.5067,86.3946,30.2021,762,4979,1761,120,0.863945578,0.302021403,0.447577093,0.808572789
7,4,121318,0.8089,0.4265,84.98,78.5577,51548,46589,14070,9111,7622,0.7503,0.5201,86.5079,29.9568,763,4956,1784,119,0.865079365,0.299568119,0.445027705,0.807689683
11,1,121318,0.8205,0.4024,87.4874,78.9048,53069,46471,14188,7590,7622,0.7532,0.4851,86.1678,30.1707,760,4981,1759,122,0.861678005,0.301707027,0.446927374,0.807439002
7,5,121318,0.8093,0.4251,84.6717,78.7733,51361,46819,13840,9298,7622,0.7663,0.5103,84.8073,31.2317,748,5093,1647,134,0.848072562,0.312317328,0.456515105,0.807186281
0,1,121318,0.751,0.5168,80.5899,72.6105,48885,42219,18440,11774,7622,0.7696,0.4685,84.4671,31.5144,745,5121,1619,137,0.844671202,0.315143824,0.459026494,0.807135601
17,3,121318,0.8373,0.3663,90.9626,79.4657,55177,46401,14258,5482,7622,0.7785,0.4612,83.5601,32.3246,737,5197,1543,145,0.835600907,0.323245614,0.466160658,0.807050454
