epoch,dataset,train_num,train_acc,train_loss,train_recall,train_precision,train_tp,train_tn,train_fp,train_fn,test_num,test_acc,test_loss,test_recall,test_precision,test_tp,test_tn,test_fp,test_fn,RECALL,PRECISION,F1,SCORE
10,3,121318,0.8012,0.445,83.8194,78.045,50844,46356,14303,9815,7622,0.7792,0.4684,86.3946,32.7742,762,5177,1563,120,0.863945578,0.327741935,0.475210477,0.821572789
14,3,121318,0.8074,0.4294,85.5982,78.0246,51923,46035,14624,8736,7622,0.785,0.4514,85.2608,33.2596,752,5231,1509,130,0.85260771,0.332596196,0.478523703,0.818803855
13,3,121318,0.8058,0.4331,85.2025,77.9921,51683,46075,14584,8976,7622,0.7722,0.4992,86.3946,32.0437,762,5124,1616,120,0.863945578,0.320437342,0.467484663,0.818072789
11,1,121318,0.7987,0.4414,84.4129,77.3802,51204,45691,14968,9455,7622,0.7544,0.4631,88.0952,30.5425,777,4973,1767,105,0.880952381,0.305424528,0.453590193,0.81767619
12,2,121318,0.8044,0.4374,84.0139,78.4055,50962,46623,14036,9697,7622,0.7589,0.5086,87.6417,30.8953,773,5011,1729,109,0.876417234,0.308952838,0.456855792,0.817658617
15,3,121318,0.8094,0.4256,85.9889,78.106,52160,46038,14621,8499,7622,0.7683,0.4496,86.6213,31.675,764,5092,1648,118,0.866213152,0.316749585,0.46387371,0.817256576
7,3,121318,0.7986,0.4482,83.7205,77.7191,50784,46100,14559,9875,7622,0.775,0.4645,85.941,32.2691,758,5149,1591,124,0.859410431,0.322690507,0.469204581,0.817205215
11,3,121318,0.8034,0.439,84.3733,78.0742,51180,46286,14373,9479,7622,0.7578,0.5208,87.6417,30.7968,773,5003,1737,109,0.876417234,0.307968127,0.455778302,0.817108617
8,3,121318,0.8019,0.4439,84.1145,77.9989,51023,46267,14392,9636,7622,0.7767,0.4896,85.7143,32.4185,756,5164,1576,126,0.857142857,0.324185249,0.470441817,0.816921429
12,3,121318,0.8049,0.4346,84.8481,78.0433,51468,46179,14480,9191,7622,0.7665,0.4744,86.6213,31.4922,764,5078,1662,118,0.866213152,0.314921682,0.46191052,0.816356576
21,2,121318,0.8168,0.4087,86.8494,78.7074,52682,46407,14252,7977,7622,0.7686,0.4801,86.3946,31.6708,762,5096,1644,120,0.863945578,0.316708229,0.46350365,0.816272789
16,3,121318,0.8116,0.4217,86.7159,78.05,52601,45866,14793,8058,7622,0.7796,0.4358,85.2608,32.6672,752,5190,1550,130,0.85260771,0.326672459,0.472361809,0.816103855
11,2,121318,0.8023,0.4404,83.6595,78.2915,50747,46588,14071,9912,7622,0.7909,0.4192,84.127,33.7887,742,5286,1454,140,0.841269841,0.337887067,0.482131254,0.816084921
8,2,121318,0.7972,0.4512,82.9011,77.9378,50287,46424,14235,10372,7622,0.7659,0.4981,86.6213,31.4403,764,5074,1666,118,0.866213152,0.314403292,0.461352657,0.816056576
13,2,121318,0.8056,0.4349,84.2942,78.4293,51132,46596,14063,9527,7622,0.7777,0.4397,85.3741,32.4849,753,5175,1565,129,0.853741497,0.324849008,0.470625,0.815720748
15,2,121318,0.8071,0.4292,84.7805,78.4032,51427,46493,14166,9232,7622,0.7547,0.5174,87.6417,30.5051,773,4979,1761,109,0.876417234,0.305051302,0.452576112,0.815558617
14,2,121318,0.8065,0.432,84.6222,78.4015,51331,46518,14141,9328,7622,0.7897,0.4331,84.127,33.6508,742,5277,1463,140,0.841269841,0.336507937,0.480725624,0.815484921
5,3,121318,0.7938,0.455,83.3759,77.2126,50575,45733,14926,10084,7622,0.7747,0.4528,85.6009,32.1962,755,5150,1590,127,0.85600907,0.32196162,0.467926867,0.815354535
10,2,121318,0.8002,0.444,83.3941,78.1239,50586,46494,14165,10073,7622,0.7711,0.4869,85.941,31.8621,758,5119,1621,124,0.859410431,0.318621269,0.464888071,0.815255215
18,3,121318,0.8143,0.4135,87.0357,78.2658,52795,45998,14661,7864,7622,0.7477,0.4936,88.0952,29.9422,777,4922,1818,105,0.880952381,0.299421965,0.446937015,0.81432619
