epoch,dataset,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
16,1,86.772,86.0365,81.5048,91.1017,39096.56737,90.9866,67.6096,81.2925,57.8692,2397.900448,121318,49440,4829,0,11219,7622,717,522,0,165,86.13955
27,1,87.893,87.3973,83.9595,91.1285,35607.03071,90.4356,66.39,81.6327,55.9441,2384.772272,121318,50929,4958,0,9730,7622,720,567,0,162,86.03415
14,1,86.3615,85.7666,82.1824,89.6778,39965.27242,89.8845,65.2546,82.0862,54.1511,2582.913059,121318,49851,5738,0,10808,7622,724,613,0,158,85.98535
7,1,85.2124,84.3322,79.5941,89.67,43449.72005,90.3175,66.1157,81.6327,55.5556,2641.531059,121318,48281,5562,0,12378,7622,720,576,0,162,85.9751
22,1,87.5097,86.8252,82.3142,91.8592,37044.34434,91.3671,68.3044,80.3855,59.3802,2271.490938,121318,49931,4425,0,10728,7622,709,485,0,173,85.8763
28,1,87.8345,87.4502,84.7723,90.3028,35629.1001,89.5959,64.614,82.0862,53.2745,2542.412193,121318,51422,5522,0,9237,7622,724,635,0,158,85.84105
10,1,85.9493,85.0615,80.0063,90.7987,41470.3092,90.8292,67.1059,80.839,57.3612,2434.522753,121318,48531,4918,0,12128,7622,713,530,0,169,85.8341
13,1,86.3648,85.7047,81.7471,90.0648,40318.08195,90.0026,65.3951,81.6327,54.5455,2604.754744,121318,49587,5470,0,11072,7622,720,600,0,162,85.81765
11,1,85.7416,85.2595,82.4709,88.2433,41746.79385,88.4545,62.4893,83.1066,50.0683,2878.784393,121318,50026,6665,0,10633,7622,733,731,0,149,85.78055
8,1,85.4292,84.7868,81.2064,88.6974,42880.96239,89.2941,63.9894,82.1995,52.3844,2785.605396,121318,49259,6277,0,11400,7622,725,659,0,157,85.7468
15,1,86.5659,85.9988,82.5154,89.7892,39659.62274,89.5828,64.5219,81.8594,53.2448,2625.995232,121318,50053,5692,0,10606,7622,722,634,0,160,85.7211
