epoch,dataset,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
25,1,87.1041,86.7342,84.3156,89.2957,35480.24281,88.8481,63.2353,82.8798,51.1189,2508.692799,121318,51145,6131,0,9514,7622,731,699,0,151,85.86395
15,1,86.2296,85.5985,81.8477,89.7096,38892.37091,89.7402,64.9013,81.9728,53.7147,2563.914457,121318,49648,5695,0,11011,7622,723,623,0,159,85.8565
12,1,85.9089,85.1424,80.7498,90.0404,39943.11949,90.1469,65.6921,81.5193,55.0115,2548.488798,121318,48982,5418,0,11677,7622,719,588,0,163,85.8331
26,5,86.5403,85.9532,82.3604,89.8737,36767.44193,89.7927,64.9234,81.6327,53.8922,2629.160595,121318,49959,5629,0,10700,7622,720,616,0,162,85.7127
25,5,86.6623,85.9996,81.9285,90.4964,36740.60233,90.0026,65.3321,81.4059,54.5593,2555.190134,121318,49697,5219,0,10962,7622,718,598,0,164,85.70425
13,1,86.0046,84.9957,79.2809,91.5984,39505.88873,91.4589,68.4134,79.932,59.7964,2264.386997,121318,48091,4411,0,12568,7622,705,474,0,177,85.69545
14,1,86.2065,85.2186,79.5232,91.7927,39199.55374,91.5508,68.616,79.8186,60.1709,2211.463778,121318,48238,4313,0,12421,7622,704,466,0,178,85.6847
19,1,86.5189,86.0453,83.1253,89.178,37760.07887,88.9399,63.3,82.4263,51.3781,2650.283739,121318,50423,6119,0,10236,7622,727,688,0,155,85.6831
18,1,86.6615,85.9582,81.6532,90.7425,37637.0752,90.4618,66.2332,80.839,56.0976,2423.026089,121318,49530,5053,0,11129,7622,713,558,0,169,85.6504
36,5,87.0398,86.3486,81.9763,91.2136,34084.65623,90.7373,66.7921,80.4989,57.074,2316.010317,121318,49726,4790,0,10933,7622,710,534,0,172,85.6181
29,2,87.2649,86.6231,82.4676,91.2198,35850.138,90.0551,65.3881,81.1791,54.7401,2467.035248,121318,50024,4815,0,10635,7622,716,592,0,166,85.6171
22,2,86.809,86.0719,81.5163,91.1667,37496.95291,89.937,65.1522,81.2925,54.3594,2447.440302,121318,49447,4791,0,11212,7622,717,602,0,165,85.61475
24,2,86.9533,86.3146,82.2862,90.7577,37008.31499,89.4778,64.2602,81.746,52.9369,2536.084764,121318,49914,5083,0,10745,7622,721,641,0,161,85.6119
31,1,87.7322,87.2785,84.1656,90.6305,33311.34373,89.7009,64.6874,81.5193,53.6167,2241.589769,121318,51054,5278,0,9605,7622,719,622,0,163,85.6101
26,2,87.2129,86.5442,82.2434,91.3198,36528.59636,89.9633,65.1798,81.1791,54.4487,2395.241385,121318,49888,4742,0,10771,7622,716,599,0,166,85.5712
10,1,85.7053,84.8128,79.8282,90.4612,40806.96098,90.5143,66.2937,80.6122,56.2945,2494.72057,121318,48423,5106,0,12236,7622,711,552,0,171,85.56325
23,1,86.9962,86.6355,84.2975,89.1069,36153.19341,88.5332,62.4893,82.5397,50.2762,2525.492052,121318,51134,6251,0,9525,7622,728,720,0,154,85.53645
33,1,87.9086,87.5324,84.8909,90.3435,32519.80373,89.4122,64.0854,81.6327,52.7473,2232.733633,121318,51494,5504,0,9165,7622,720,645,0,162,85.52245
37,5,87.1577,86.4729,82.095,91.344,33659.08267,90.8817,67.046,80.1587,57.6202,2309.386536,121318,49798,4719,0,10861,7622,707,520,0,175,85.5202
27,2,87.0778,86.485,82.6918,90.643,36596.28645,89.5172,64.2825,81.5193,53.0627,2591.613817,121318,50160,5178,0,10499,7622,719,636,0,163,85.51825
16,1,86.3285,85.4741,80.4464,91.172,38357.13623,90.9735,67.2381,80.0454,57.9639,2343.456285,121318,48798,4725,0,11861,7622,706,512,0,176,85.50945
28,1,87.3729,86.6486,81.9483,91.9209,34733.35112,91.1834,67.6923,79.8186,58.7646,2051.106985,121318,49709,4369,0,10950,7622,704,494,0,178,85.501
24,5,86.5164,85.6031,80.1728,91.8226,36938.6857,91.1703,67.6598,79.8186,58.7156,2359.848103,121318,48632,4331,0,12027,7622,704,495,0,178,85.49445
9,1,85.5405,84.8105,80.7349,89.3195,41420.47423,89.5828,64.3946,81.4059,53.2641,2691.716936,121318,48973,5856,0,11686,7622,718,630,0,164,85.49435
20,1,86.8602,86.1029,81.4108,91.3688,36940.32918,90.8029,66.8558,80.1587,57.3398,2265.356482,121318,49383,4665,0,11276,7622,707,526,0,175,85.4808
44,5,87.4149,86.9039,83.5128,90.582,32401.05439,90.2257,65.6524,80.7256,55.3225,2505.259209,121318,50658,5267,0,10001,7622,712,575,0,170,85.47565
8,1,85.552,84.6011,79.3765,90.5618,41691.82022,90.7898,66.8242,80.1587,57.2934,2521.316814,121318,48149,5018,0,12510,7622,707,527,0,175,85.47425
41,5,87.4553,86.7759,82.3175,91.7448,32888.60156,91.0129,67.3031,79.932,58.1204,2271.041697,121318,49933,4493,0,10726,7622,705,508,0,177,85.47245
35,5,87.1717,86.5682,82.6786,90.8419,34231.3077,90.3962,65.9851,80.4989,55.9055,2434.425512,121318,50152,5056,0,10507,7622,710,560,0,172,85.44755
25,2,86.9005,86.3864,83.1237,89.9157,37019.88887,88.8087,62.9292,82.0862,51.0218,2684.626892,121318,50422,5655,0,10237,7622,724,695,0,158,85.44745
26,1,87.2896,86.8228,83.7468,90.1332,34867.04216,89.3729,63.968,81.5193,52.6354,2356.095499,121318,50800,5561,0,9859,7622,719,647,0,163,85.4461
46,5,87.3391,86.949,84.3502,89.713,32426.52296,89.2417,63.7168,81.6327,52.2496,2612.085495,121318,51166,5867,0,9493,7622,720,658,0,162,85.4372
30,5,86.9896,86.2006,81.2724,91.7652,35385.58537,91.0129,67.2719,79.8186,58.1338,2256.090685,121318,49299,4424,0,11360,7622,704,507,0,178,85.41575
38,5,87.1363,86.6552,83.5309,90.0222,33707.9911,89.6353,64.4464,81.1791,53.4328,2487.685024,121318,50669,5616,0,9990,7622,716,624,0,166,85.4072
9,5,85.6674,84.7198,79.4655,90.718,41337.01884,90.4749,66.1064,80.2721,56.1905,2582.421474,121318,48203,4932,0,12456,7622,708,552,0,174,85.3735
28,5,86.8659,86.0009,80.6871,92.064,36087.88699,91.2359,67.7295,79.4785,59.0067,2226.31506,121318,48944,4219,0,11715,7622,701,487,0,181,85.3572
19,2,86.6038,85.9645,82.0488,90.2726,38207.60812,89.058,63.3245,81.6327,51.7241,2545.856886,121318,49770,5363,0,10889,7622,720,672,0,162,85.34535
38,1,88.1716,87.7443,84.6849,91.033,31494.25344,89.937,64.9932,80.7256,54.3927,2076.573723,121318,51369,5060,0,9290,7622,712,597,0,170,85.3313
43,5,87.2929,86.8522,83.9414,89.9723,32680.93739,89.4647,64.0716,81.1791,52.9194,2531.917536,121318,50918,5675,0,9741,7622,716,637,0,166,85.3219
