epoch,dataset,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
27,1,87.6144,86.9498,82.522,91.8797,35910.93746,91.2228,67.6968,79.4785,58.9571,2070.972811,121318,50057,4424,0,10602,7622,701,488,0,181,85.35065
32,3,87.3827,86.722,82.4066,91.5144,36054.77412,90.5143,66.1675,80.1587,56.3347,2412.044928,121318,49987,4635,0,10672,7622,707,548,0,175,85.3365
26,1,87.6358,87.3933,85.7119,89.1419,35702.01566,88.5857,62.4676,82.0862,50.4178,2468.632639,121318,51992,6333,0,8667,7622,724,712,0,158,85.33595
34,1,88.5161,88.3447,87.0456,89.6832,33579.43273,88.8087,62.8646,81.8594,51.0247,2396.512045,121318,52801,6074,0,7858,7622,722,693,0,160,85.33405
11,1,85.7746,85.5289,84.0766,87.0322,40904.68318,87.2212,60.1799,83.4467,47.0588,2900.46347,121318,51000,7599,0,9659,7622,736,828,0,146,85.33395
44,3,88.2581,87.7489,84.1013,91.7272,33407.29662,90.265,65.6481,80.3855,55.4773,2432.970148,121318,51015,4601,0,9644,7622,709,569,0,173,85.32525
23,5,86.3483,85.8406,82.7627,89.1563,38065.91351,89.3335,63.8184,81.2925,52.5275,2802.789116,121318,50203,6106,0,10456,7622,717,648,0,165,85.313
35,1,88.5565,88.2135,85.646,90.9396,33346.96215,90.0945,65.2874,80.4989,54.9111,2251.125101,121318,51952,5176,0,8707,7622,710,583,0,172,85.2967
29,1,87.6811,86.9386,81.9961,92.5152,35507.74154,91.6033,68.5039,78.9116,60.5217,1996.070006,121318,49738,4024,0,10921,7622,696,454,0,186,85.25745
21,5,86.5354,85.7088,80.7514,91.3146,38027.26427,90.8029,66.7299,79.7052,57.3878,2602.481462,121318,48983,4659,0,11676,7622,703,522,0,179,85.25405
4,1,84.661,83.7261,78.9166,89.16,44866.35393,89.4122,63.9249,81.0658,52.7675,2725.546227,121318,47870,5820,0,12789,7622,715,640,0,167,85.239
40,3,88.0702,87.4964,83.4814,91.9172,34234.17502,90.5405,66.1661,79.932,56.4452,2393.889807,121318,50639,4453,0,10020,7622,705,544,0,177,85.23625
24,5,86.6285,85.9228,81.6153,90.7104,37360.54856,90.2913,65.6453,80.1587,55.5818,2635.020025,121318,49507,5070,0,11152,7622,707,565,0,175,85.225
16,3,86.462,85.725,81.2987,90.6609,39589.53583,90.1338,65.3137,80.2721,55.0544,2566.745834,121318,49315,5080,0,11344,7622,708,578,0,174,85.20295
48,1,89.7402,89.6855,89.2102,90.166,30000.02691,88.402,62.0601,81.9728,49.9309,2332.285969,121318,54114,5902,0,6545,7622,723,725,0,159,85.1874
30,3,87.283,86.4555,81.1734,92.4728,36771.45783,91.4589,68.1351,78.9116,59.9483,2243.573244,121318,49239,4008,0,11420,7622,696,465,0,186,85.18525
27,5,86.9129,86.1591,81.4669,91.4249,36545.09628,90.7767,66.635,79.5918,57.3061,2526.691284,121318,49417,4635,0,11242,7622,702,523,0,180,85.18425
20,3,86.7233,86.0732,82.0554,90.5048,38670.73919,89.8583,64.7515,80.4989,54.1571,2594.201605,121318,49774,5222,0,10885,7622,710,601,0,172,85.1786
22,1,86.8775,86.9077,87.1083,86.708,37795.83011,86.2241,58.5635,84.127,44.9153,2859.769842,121318,52839,8100,0,7820,7622,742,910,0,140,85.17555
29,3,87.2715,86.5663,82.0225,91.6432,36697.18431,90.7505,66.5718,79.5918,57.2127,2409.667154,121318,49754,4537,0,10905,7622,702,525,0,180,85.17115
22,2,86.4332,85.8074,82.0241,89.9566,38264.33013,89.1629,63.419,81.1791,52.0349,2776.318216,121318,49755,5555,0,10904,7622,716,660,0,166,85.171
25,2,86.8016,86.0743,81.579,91.094,37259.44366,90.0682,65.1634,80.2721,54.8412,2534.728769,121318,49485,4838,0,11174,7622,708,583,0,174,85.17015
51,1,89.5786,89.2337,86.3747,92.2885,29771.2742,90.6061,66.2582,79.7052,56.6935,2048.073177,121318,52394,4378,0,8265,7622,703,537,0,179,85.15565
18,2,86.1776,85.6992,82.8319,88.7721,39617.31949,88.3364,61.9272,81.9728,49.7591,2911.399054,121318,50245,6355,0,10414,7622,723,730,0,159,85.1546
25,5,86.9253,86.0493,80.6459,92.2287,36824.98842,91.3933,67.9688,78.9116,59.6913,2344.989258,121318,48919,4122,0,11740,7622,696,470,0,186,85.15245
23,2,86.5997,85.9438,81.9334,90.3669,37829.62779,89.3466,63.75,80.9524,52.5773,2683.046,121318,49700,5298,0,10959,7622,714,644,0,168,85.1495
21,3,86.7596,85.8656,80.4349,92.0828,38427.62717,91.1572,67.4396,79.1383,58.7542,2332.863247,121318,48791,4195,0,11868,7622,698,490,0,184,85.14775
52,1,89.4385,88.9626,85.1267,93.1605,30131.35172,91.249,67.6371,79.0249,59.1179,1937.206426,121318,51637,3791,0,9022,7622,697,482,0,185,85.13695
22,5,86.4093,85.7806,81.9878,89.9412,38038.74722,89.7665,64.5455,80.4989,53.8695,2748.538609,121318,49733,5562,0,10926,7622,710,608,0,172,85.1327
23,3,86.931,86.0883,80.8734,92.0221,37948.52975,91.0916,67.2771,79.1383,58.508,2362.899801,121318,49057,4253,0,11602,7622,698,495,0,184,85.11495
